#CopyNumber, LargeOrSmall, NorthOrSouth, CircleNumber, PositionNumber, UpOrDown, PmtType, GCU, Channel
#update PMT Mapping file by wuchx 230831, including fourth Circle.
463,0,0,51,46,0,1,3622,2
464,0,0,51,47,0,2,3622,3
465,0,0,51,48,0,2,3370,3
466,0,0,51,49,0,2,3370,2
467,0,0,51,50,0,1,3370,1
468,0,0,51,51,0,2,2926,3
469,0,0,51,52,0,2,2926,2
470,0,0,51,53,0,1,2926,1
471,0,0,51,54,0,2,5158,1
472,0,0,51,55,0,1,5158,2
473,0,0,51,56,0,2,5201,3
474,0,0,51,57,0,1,5201,2
475,0,0,51,58,0,1,5201,1
476,0,0,51,59,0,2,5735,1
477,0,0,51,60,0,1,5735,2
478,0,0,51,61,0,2,5735,3
479,0,0,51,62,0,1,3992,1
480,0,0,51,63,0,2,3992,2
481,0,0,51,64,0,2,3992,3
482,0,0,51,65,0,2,3966,1
483,0,0,51,66,0,2,3966,2
484,0,0,51,67,0,1,3966,3
485,0,0,51,68,0,2,3852,3
486,0,0,51,69,0,1,3852,2
487,0,0,51,70,0,2,3852,1
488,0,0,51,71,0,2,3748,3
489,0,0,50,1,0,1,3508,2
490,0,0,50,2,0,2,3508,1
491,0,0,50,3,0,2,4241,1
492,0,0,50,4,0,1,4241,2
493,0,0,50,5,0,2,4241,3
494,0,0,50,6,0,1,6143,1
495,0,0,50,7,0,1,6143,2
496,0,0,50,8,0,2,6143,3
497,0,0,50,9,0,1,6260,1
498,0,0,50,10,0,2,6260,2
499,0,0,50,11,0,2,6260,3
500,0,0,50,12,0,1,6044,1
501,0,0,50,13,0,2,6044,2
502,0,0,50,14,0,1,6044,3
503,0,0,50,15,0,1,5192,1
504,0,0,50,16,0,2,5192,2
505,0,0,50,17,0,2,5192,3
506,0,0,50,18,0,1,6498,1
507,0,0,50,19,0,2,6498,2
508,0,0,50,20,0,1,6498,3
509,0,0,50,21,0,2,5268,3
510,0,0,50,22,0,2,5268,2
511,0,0,50,23,0,1,5268,1
512,0,0,50,24,0,2,2808,3
513,0,0,50,25,0,1,2808,2
514,0,0,50,26,0,1,2808,1
515,0,0,50,27,0,2,0901,3
516,0,0,50,28,0,1,0901,2
517,0,0,50,29,0,1,0901,1
518,0,0,50,30,0,2,3254,3
519,0,0,50,31,0,1,3254,2
520,0,0,50,32,0,2,3254,1
521,0,0,50,33,0,2,3847,1
522,0,0,50,34,0,1,3847,2
523,0,0,50,35,0,2,3847,3
524,0,0,50,36,0,1,7197,1
525,0,0,50,37,0,1,7197,2
526,0,0,50,38,0,2,7197,3
527,0,0,50,39,0,1,7094,1
528,0,0,50,40,0,2,7094,2
529,0,0,50,41,0,2,7094,3
530,0,0,50,42,0,1,7057,1
531,0,0,50,43,0,2,7057,2
532,0,0,50,44,0,2,7057,3
533,0,0,50,45,0,1,5319,1
534,0,0,50,46,0,2,5319,2
535,0,0,50,47,0,2,5319,3
536,0,0,50,48,0,1,4328,1
537,0,0,50,49,0,2,4328,2
538,0,0,50,50,0,1,4328,3
539,0,0,50,51,0,2,5822,1
540,0,0,50,52,0,2,5822,2
541,0,0,50,53,0,2,5822,3
542,0,0,50,54,0,2,4011,3
543,0,0,50,55,0,1,4011,2
544,0,0,50,56,0,2,4011,1
545,0,0,50,57,0,2,2897,3
546,0,0,50,58,0,1,2897,2
547,0,0,50,59,0,1,2897,1
548,0,0,50,60,0,2,6068,3
549,0,0,50,61,0,1,6068,2
550,0,0,50,62,0,2,6068,1
551,0,0,50,63,0,2,5768,2
552,0,0,50,64,0,2,4039,3
553,0,0,50,65,0,2,4039,2
554,0,0,50,66,0,1,4039,1
555,0,0,50,67,0,2,5670,3
556,0,0,50,68,0,2,5670,2
557,0,0,50,69,0,2,5670,1
558,0,0,50,70,0,2,3795,3
559,0,0,50,71,0,2,3795,2
560,0,0,50,72,0,1,3795,1
561,0,0,50,73,0,2,3850,3
562,0,0,50,74,0,2,3850,2
563,0,0,50,75,0,1,3850,1
564,0,0,50,76,0,2,7446,3
565,0,0,50,77,0,1,7446,2
566,0,0,50,78,0,2,7446,1
567,0,0,50,79,0,2,7408,3
568,0,0,50,80,0,1,7408,2
569,0,0,50,81,0,2,7408,1
570,0,0,50,82,0,2,3508,3
571,0,0,49,1,0,1,3665,2
572,0,0,49,2,0,2,3665,3
573,0,0,49,3,0,1,4584,1
574,0,0,49,4,0,2,4584,2
575,0,0,49,5,0,2,4584,3
576,0,0,49,6,0,1,5033,1
577,0,0,49,7,0,2,5033,2
578,0,0,49,8,0,1,5033,3
579,0,0,49,9,0,2,6361,1
580,0,0,49,10,0,2,6361,2
581,0,0,49,11,0,1,6361,3
582,0,0,49,12,0,2,4067,1
583,0,0,49,13,0,2,4067,2
584,0,0,49,14,0,1,4067,3
585,0,0,49,15,0,2,6238,3
586,0,0,49,16,0,2,6238,2
587,0,0,49,17,0,1,6238,1
588,0,0,49,18,0,2,5371,3
589,0,0,49,19,0,1,5371,2
590,0,0,49,20,0,1,5371,1
591,0,0,49,21,0,2,5582,3
592,0,0,49,22,0,1,5582,2
593,0,0,49,23,0,2,5582,1
594,0,0,49,24,0,2,6733,3
595,0,0,49,25,0,1,6733,2
596,0,0,49,26,0,2,6733,1
597,0,0,49,27,0,2,3397,1
